"compoundId","Early_1-pbs_751-1","Early_1-pbs_751-2","Early_1-pbs_751-3","Early_1-pbs_752-4","Early_1-pbs_752-5","Early_1-pbs_752-6","Early_2-ct26_739-1","Early_2-ct26_739-2","Early_2-ct26_739-3","Early_2-ct26_740-4","Early_2-ct26_740-5","Early_2-ct26_740-6","Early_3-c26_747-1","Early_3-c26_747-2","Early_3-c26_747-3","Early_3-c26_748-4","Early_3-c26_748-5","Early_3-c26_748-6","Mid_1-pbs_749-1","Mid_1-pbs_749-2","Mid_1-pbs_749-3","Mid_1-pbs_750-4","Mid_1-pbs_750-5","Mid_1-pbs_750-6","Mid_2-ct26_735-1","Mid_2-ct26_735-2","Mid_2-ct26_735-3","Mid_2-ct26_736-4","Mid_2-ct26_736-5","Mid_2-ct26_736-6","Mid_3-c26_745-1","Mid_3-c26_745-2","Mid_3-c26_745-3","Mid_3-c26_746-4","Mid_3-c26_746-5","Mid_3-c26_746-6"
"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",790724.016175911,428604.349358691,514576.914013062,672509.046989498,327554.9620997,486767.807666845,413648.65718362,484249.783116653,391376.029803699,650677.13996773,540618.91354267,626775.541794568,206611.842905422,215036.432893837,486867.235887305,153725.35606176,146583.42788622,173775.905719951,329568.701557992,252800.56936995,135613.150216736,528418.506305719,340452.126272245,462046.198418152,178177.842383774,152655.420169761,173349.670166737,251347.679888102,232429.106044558,169671.556773516,181847.599304976,275027.578211909,161253.670679815,168323.093465334,117185.519632985,125786.425927018
"(5Z,8Z)-Tetradecadienoylcarnitine",622003.251656383,703273.250631192,980705.425148271,729767.141242238,1319934.42082214,898130.264027226,681107.376993061,726526.664548455,840211.446955112,549221.628716341,955641.146927613,1199125.87591828,782257.170683742,883537.870899582,714630.329369463,3689124.42940859,1014738.26848219,767932.339604594,725012.787544533,697654.180674254,1650979.18664357,833647.910218554,879580.873268861,752744.986427509,762397.789316916,1076390.13695065,903971.966682868,756708.755635904,1396577.85779587,2030278.89881329,667947.797755421,864506.409435595,657135.53183754,1220740.08825051,1497937.6854961,1029005.98287398
"(7Z,10Z)-Hexadecadienoylcarnitine",323169.439601972,351570.214788991,577366.879362653,425937.768087361,1012688.3877997,478411.8488591,335089.089946185,375544.641508646,352679.593869801,315415.326706965,491600.82860703,651726.102663269,370147.694968988,477549.068057775,478409.449134211,2714459.61324188,739110.996071344,519151.32562049,389099.107477732,326658.058358491,1037861.08809207,405139.476575476,500559.592161265,421565.757430662,401755.49290421,641133.994833877,601849.944352495,493785.771754515,945621.916877079,1772015.8214067,420232.54065287,481176.814259964,543841.637431634,1067195.73301027,1162697.34044948,1017323.58264039
"(8Z,11Z)-henicosa-8,11-dienoic acid",0,0,0,0,23397.3978805213,300214.935038602,0,76644.9351770341,0,8815.79289655213,0,154308.213757348,0,116964.31580681,0,0,0,215162.202026672,0,295976.384570004,30457.3328637634,0,0,0,38581.0867304369,0,0,64400.4786629545,53915.6158704383,0,0,1885.02255069328,0,49909.3932045008,0,0
"(Â±)-2-Hydroxy-4-(methylthio)butanoic acid",7674.62799817888,5002.24140671556,6346.47971496437,8929.1326517049,6337.36801737729,5134.91125506217,6720.24712086874,9277.98823453808,6629.65,23292.1679772044,12740.9392802815,13292.2732804337,25752.9833950506,11858.2037979384,40576.2240435984,40696.6998262904,38443.9990054714,30073.9312883241,6631.41737919924,7800.71986463076,9821.91809084097,5319.41969088292,8382.51953021551,9235.90421984589,30074.0810788888,39218.6928499245,43053.2930013467,57510.1043948849,46529.9137774505,39332.8542866648,34276.3877315458,56927.618694986,35099.5768730014,24779.7509088183,38307.0509181456,43808.9938202421
"(R)-2-Benzylsuccinate",60369.982280691,37973.1542550558,80420.6406906138,77476.7664670532,58241.3589584582,76290.6410088273,65459.4914282787,68570.2787089847,87499.1604944946,64766.5401191401,85635.1654849173,126632.00329823,73505.4384404958,63851.1423590837,101824.489022936,87557.7301268791,59430.3879181595,66069.770133576,64985.5312466899,74471.0845502284,48520.067560004,43911.6420886772,58346.223085317,58379.452274852,78780.4408484072,91254.6264781053,52447.453227344,56125.9227719443,70397.3408888573,52558.3535713851,132043.676136113,83249.7548584881,69899.9950807107,54294.9366593637,52778.6778802772,47102.2419740816
"(R)-3,4-Dihydro-2-(4,8,12-trimethyl-3,7,11-tridecatrienyl)-2H-1-benzopyran-6-ol",75911.6069691591,905.942567988752,2862.75390465014,6526.97789708715,1877.36316768349,20050.3827477669,1493.0225739233,7202.48476076546,757.31,13495.6973379314,17561.0297532349,42323.8954208652,3719.71931228201,3565.47381630287,42458.3458759026,9959.91134203545,880.220562318849,2458.54713796893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(R)-Amphetamine",0,3554653.61148279,0,5108360.39861092,2838541.89569568,0,0,3708509.87632756,4182190.9206233,1988836.43995236,2327034.6819931,1118404.76850502,1769087.28377263,4843521.80995977,2610662.35822266,0,769373.109381362,4327267.63689671,0,6084933.80109385,1970439.8075088,3979060.50078058,0,0,2078083.38223269,3092661.06554609,0,1274561.8709626,1090194.92016649,3443377.66484463,2633176.0058167,0,505940.581626782,0,2691996.64110401,2231739.78520952
"(S)-beta-Aminoisobutyric acid",1306887.68073722,284461.277819449,257008.213341651,431432.57302056,181449.716445982,290976.867309464,214498.771688878,225592.106354669,171128.951023547,329648.5626178,524659.535820508,962102.64721151,178929.272343169,187200.511321451,1047408.94657261,322414.09640437,208586.45499055,212376.652176216,340386.110395021,274098.030044989,163992.688623257,251020.47627764,305028.044619806,661307.176842188,423032.680477479,579373.818800354,359672.501399255,345911.389688428,421318.901291841,572649.639946692,523868.900651917,498982.415386698,492752.091339027,207455.929017314,246337.796302225,317056.738237491
"(S)-Homostachydrine",576903.062594549,588214.327806889,1079364.38007398,10889449.957333,18693329.3731693,12478390.441957,879828.598936453,747826.540989082,680514.477704397,7608988.80660602,14505242.579604,18848058.8800433,369257.908155728,294542.8315167,465049.29237368,1360760.00207104,375752.817101204,290410.185808486,8030894.56769972,7790032.04738768,7816270.61712172,7825400.34537198,9193549.21990898,12323054.2743856,7973809.38520771,9954359.07875133,8908462.37280368,9008796.73718955,5460632.9132111,492614.822935424,994626.156107208,2995223.25096453,2830969.44158144,671835.510604633,938319.355532621,170773.888728082
